Information and diagnostics 
=========================== 
Total iter:                       10000 
Thin:                             1 
Num chains:                       3 
Max Rhat:                         1.04 
Min n.eff:                        0 


Model summary 
============= 
                       mean         sd          2.5%          50%       97.5% Rhat n.eff
betaD.R[1]      -0.65048827 0.51762800 -1.6826321161 -0.646969027  0.33377274 1.01   946
mean.phi[4, 9]   0.70308384 0.08335817  0.5240519469  0.709448920  0.84661837 1.00  6081
mean.phi[5, 9]   0.80569012 0.07085080  0.6484680973  0.813081829  0.92262636 1.00  7906
mean.phi[6, 9]   0.70851870 0.13240023  0.4099995780  0.723764119  0.91723188 1.00  6516
mean.phi[1, 10]  0.54482298 0.08891489  0.3690934622  0.545488395  0.71600510 1.00  7522
mean.phi[2, 10]  0.76077334 0.07149287  0.6058768878  0.766598978  0.88410163 1.00  7722
mean.phi[3, 10]  0.83480601 0.09934979  0.5800856640  0.856056198  0.96488838 1.00  5571
mean.phi[4, 10]  0.86433711 0.06844076  0.7009709204  0.876099097  0.96353764 1.00  5328
mean.phi[5, 10]  0.84113478 0.06289625  0.6994051684  0.849506491  0.93972734 1.00  7078
mean.phi[6, 10]  0.76590919 0.11097121  0.5108457035  0.780026194  0.93848363 1.00  5630
mean.phi[1, 11]  0.78041875 0.08840321  0.5788153053  0.791145034  0.92208055 1.00  4970
mean.phi[2, 11]  0.69078753 0.09781221  0.4813149146  0.697952139  0.86292765 1.00  6537
mean.phi[3, 11]  0.78010242 0.07493783  0.6141784860  0.787493407  0.90497717 1.00  8205
mean.phi[4, 11]  0.82424315 0.08674353  0.6142995972  0.838301836  0.95006006 1.00  5326
mean.phi[5, 11]  0.77169376 0.08122329  0.5926961834  0.779700919  0.90469746 1.00  8066
mean.phi[6, 11]  0.63953947 0.12283199  0.3784585891  0.648741577  0.85206641 1.00  7334
mean.phi[1, 12]  0.75232039 0.06681547  0.6097638917  0.757276288  0.86621245 1.00  7012
mean.phi[2, 12]  0.62792918 0.11331580  0.3933054304  0.634265572  0.83068370 1.00  6151
mean.phi[3, 12]  0.87200463 0.06718984  0.7115870928  0.882986931  0.96946855 1.00  4381
mean.phi[4, 12]  0.85031056 0.06263552  0.7056873063  0.858712759  0.94799233 1.00  6538
mean.phi[5, 12]  0.73876143 0.10079313  0.5107941185  0.750690243  0.89965591 1.00  7017
mean.phi[6, 12]  0.65781841 0.10617886  0.4312519038  0.665106279  0.84595781 1.00  8026
mean.phi[1, 13]  0.75459556 0.08808255  0.5578641613  0.764282092  0.90123619 1.00  5942
mean.phi[2, 13]  0.74228950 0.07357619  0.5860123486  0.746691631  0.87033810 1.00  7009
mean.phi[3, 13]  0.67682250 0.12500482  0.3973493235  0.690340254  0.87940616 1.00  3814
mean.phi[4, 13]  0.81404937 0.06245088  0.6739582028  0.821015239  0.91684367 1.00  6579
mean.phi[5, 13]  0.76208789 0.10341371  0.5281897435  0.774569805  0.92376334 1.00  6114
mean.phi[6, 13]  0.72477563 0.10191815  0.5028857599  0.733827631  0.89987534 1.00  4408
mean.phi[1, 14]  0.75449077 0.08770647  0.5626031692  0.762506054  0.90171797 1.00  5945
mean.phi[2, 14]  0.75065315 0.09499331  0.5399745106  0.759400606  0.90929578 1.00  5339
mean.phi[3, 14]  0.76128106 0.07956811  0.5840839680  0.768644335  0.89412749 1.00  7383
mean.phi[4, 14]  0.82286046 0.06314030  0.6796969347  0.829398330  0.92510949 1.00  7326
mean.phi[5, 14]  0.77898167 0.09909821  0.5498598202  0.793016841  0.93160619 1.00  6421
mean.phi[6, 14]  0.58519834 0.12114113  0.3363456834  0.590873913  0.80484082 1.00  7091
mean.phi[1, 15]  0.76396184 0.06458362  0.6257783284  0.767499082  0.87858959 1.00  6786
mean.phi[2, 15]  0.77811792 0.09136147  0.5724773031  0.788805942  0.92699093 1.00  5781
mean.phi[3, 15]  0.84306825 0.07588461  0.6669499581  0.855330961  0.95597235 1.00  6277
mean.phi[4, 15]  0.81053104 0.05903922  0.6804358169  0.815723225  0.90936255 1.00  7728
mean.phi[5, 15]  0.78975964 0.11229515  0.5143924243  0.810061172  0.94784807 1.00  6003
mean.phi[6, 15]  0.59115660 0.12557547  0.3232678549  0.600814418  0.81120530 1.00  7230
mean.phi[1, 16]  0.77514830 0.08003630  0.6009390189  0.782480665  0.91050501 1.00  4981
mean.phi[2, 16]  0.63696511 0.08025660  0.4693082489  0.640795944  0.78252833 1.00  7011
mean.phi[3, 16]  0.83740008 0.07728891  0.6538455175  0.849632134  0.95240039 1.00  6319
mean.phi[4, 16]  0.85612092 0.05389292  0.7351354622  0.862207371  0.94314806 1.00  6981
mean.phi[5, 16]  0.67842033 0.10832619  0.4390101433  0.688657935  0.85961127 1.00  5286
mean.phi[6, 16]  0.66775072 0.12948601  0.3842762917  0.679308982  0.88413629 1.00  7645
mean.phi[1, 17]  0.81320925 0.10241680  0.5823996251  0.825607054  0.97111028 1.00  2192
mean.phi[2, 17]  0.68571952 0.12634162  0.4300290067  0.691525277  0.91281304 1.00  2345
mean.phi[3, 17]  0.76199081 0.11489442  0.5074409947  0.775130525  0.94436645 1.00  2613
mean.phi[4, 17]  0.84380852 0.08472325  0.6478535173  0.855961142  0.97055595 1.00  1727
mean.phi[5, 17]  0.73495280 0.12355447  0.4653836068  0.748670409  0.93366278 1.00  3128
mean.phi[6, 17]  0.57137040 0.18664844  0.1853870024  0.586981400  0.88691795 1.00  3442
mu.R[1]          0.08065328 0.02875344  0.0367302482  0.076652186  0.14931160 1.00  2823
mu.R[2]          0.15705283 0.05308634  0.0713347668  0.150264902  0.27523691 1.00  3836
mu.R[3]          0.18105682 0.07419923  0.0643705069  0.171969156  0.34979286 1.00  3426
