Information and diagnostics 
=========================== 
Total iter:                       10000 
Thin:                             1 
Num chains:                       3 
Max Rhat:                         1.06 
Min n.eff:                        0 


Model summary 
============= 
                        mean          sd         2.5%           50%       97.5% Rhat n.eff
betaVR.R[1]      0.378991498 0.564101386 -0.617283931  3.438035e-01  1.59510723 1.00  3282
mean.phi[3, 7]   0.912637304 0.051009613  0.788805120  9.224653e-01  0.98227408 1.00  2903
mean.phi[4, 7]   0.659422845 0.135687904  0.371844254  6.696532e-01  0.89002246 1.00  3887
mean.phi[1, 8]   0.839735334 0.076824285  0.651841086  8.535225e-01  0.94841135 1.00  5373
mean.phi[2, 8]   0.910803650 0.033254906  0.832289526  9.153599e-01  0.96278609 1.00  7217
mean.phi[3, 8]   0.773441438 0.069676284  0.617817800  7.807916e-01  0.88851889 1.00  4932
mean.phi[4, 8]   0.499853217 0.118913228  0.258822442  5.023458e-01  0.71994094 1.00  4831
mean.phi[1, 9]   0.897329284 0.056671729  0.757764984  9.078720e-01  0.97472561 1.00  6311
mean.phi[2, 9]   0.836230933 0.062817740  0.690706356  8.454821e-01  0.93303973 1.00  3966
mean.phi[3, 9]   0.832302373 0.051838451  0.716915246  8.382061e-01  0.91755906 1.00  7318
mean.phi[4, 9]   0.421000037 0.119601774  0.193725349  4.196230e-01  0.65444767 1.00  2461
mean.phi[1, 10]  0.907774328 0.039823633  0.812520436  9.135762e-01  0.96822603 1.00  7016
mean.phi[2, 10]  0.927152438 0.039259479  0.829306585  9.347828e-01  0.98070120 1.00  7018
mean.phi[3, 10]  0.872818336 0.045485546  0.769910795  8.787627e-01  0.94516772 1.00  7270
mean.phi[4, 10]  0.710280899 0.110726319  0.470121872  7.200387e-01  0.89578953 1.00  6119
mean.phi[1, 11]  0.858704663 0.047965578  0.753719977  8.635539e-01  0.93802160 1.00  8108
mean.phi[2, 11]  0.936557231 0.038640853  0.840198284  9.445202e-01  0.98765785 1.00  5406
mean.phi[3, 11]  0.949055082 0.029329165  0.875963040  9.550690e-01  0.98903425 1.00  5146
mean.phi[4, 11]  0.810033768 0.079740822  0.627486290  8.195353e-01  0.93640272 1.00  5085
mean.phi[1, 12]  0.815214424 0.064814303  0.669804259  8.226137e-01  0.91973877 1.00  7172
mean.phi[2, 12]  0.910665959 0.038979875  0.818589488  9.167605e-01  0.96859674 1.00  7100
mean.phi[3, 12]  0.919123998 0.045239544  0.806704972  9.284387e-01  0.97951564 1.00  6229
mean.phi[4, 12]  0.700313608 0.075874403  0.541043184  7.045965e-01  0.83596718 1.00  7849
mean.phi[1, 13]  0.753961952 0.068729524  0.604594495  7.592712e-01  0.87066245 1.00  5808
mean.phi[2, 13]  0.927475822 0.033927224  0.846082806  9.326470e-01  0.97777018 1.00  6850
mean.phi[3, 13]  0.898963571 0.058558972  0.750995586  9.114085e-01  0.97616848 1.00  6090
mean.phi[4, 13]  0.724089170 0.073316846  0.569514250  7.288721e-01  0.85397418 1.00  7568
mean.phi[1, 14]  0.892853877 0.046303209  0.783686292  8.996360e-01  0.96392068 1.00  6730
mean.phi[2, 14]  0.931396439 0.031522294  0.856240067  9.362112e-01  0.97822649 1.00  6475
mean.phi[3, 14]  0.901115855 0.056698069  0.759098283  9.126686e-01  0.97600108 1.00  6053
mean.phi[4, 14]  0.568644934 0.092961726  0.381115952  5.712126e-01  0.74143250 1.00  6463
mean.phi[1, 15]  0.885682647 0.041719492  0.791437781  8.902376e-01  0.95249591 1.00  7208
mean.phi[2, 15]  0.925343616 0.031099881  0.851824176  9.298834e-01  0.97181365 1.00  7412
mean.phi[3, 15]  0.913939989 0.054373847  0.774818445  9.256054e-01  0.98170161 1.00  5794
mean.phi[4, 15]  0.708258374 0.088906710  0.517217495  7.148099e-01  0.86337221 1.00  7113
mean.phi[1, 16]  0.850053191 0.045991995  0.746635750  8.545165e-01  0.92640894 1.00  7687
mean.phi[2, 16]  0.937666726 0.028222164  0.872316721  9.419492e-01  0.97969376 1.00  6648
