mean.phi[3, 12]  0.7325042816 0.06642214  0.5893194101  0.7371636814  0.84892952 1.00  5630
mean.phi[4, 12]  0.5673889984 0.08124577  0.4044934792  0.5690689147  0.72345380 1.00  6628
mean.phi[1, 13]  0.7165861883 0.04405406  0.6197662457  0.7194388635  0.79491384 1.01  5726
mean.phi[2, 13]  0.8338301108 0.03692783  0.7519666256  0.8368866975  0.89722283 1.00  4293
mean.phi[3, 13]  0.7401055010 0.06239609  0.6081479016  0.7438897269  0.85178077 1.00  5416
mean.phi[4, 13]  0.5884874076 0.07766483  0.4391473244  0.5881264490  0.74595822 1.00  2032
mean.phi[1, 14]  0.7366905375 0.04116071  0.6518476469  0.7371928755  0.81866896 1.00  5679
mean.phi[2, 14]  0.8349267935 0.03644065  0.7553617778  0.8370465977  0.90049976 1.00  4408
mean.phi[3, 14]  0.7426761250 0.05908143  0.6205123278  0.7450062328  0.85076279 1.00  5397
mean.phi[4, 14]  0.5607017999 0.07293613  0.4087032419  0.5624957634  0.69709044 1.00  5800
mean.phi[1, 15]  0.7626539433 0.04082983  0.6832259359  0.7614942647  0.84894952 1.01  3867
mean.phi[2, 15]  0.8293971881 0.03391434  0.7549446819  0.8317079188  0.88877238 1.00  4597
mean.phi[3, 15]  0.7430562743 0.05625452  0.6236328919  0.7468344198  0.84405346 1.00  4849
mean.phi[4, 15]  0.5635819783 0.06706281  0.4208558756  0.5668812903  0.68617269 1.00  4232
mean.phi[1, 16]  0.7443471741 0.04072913  0.6482942937  0.7489865683  0.81166703 1.01  2214
mean.phi[2, 16]  0.8369981470 0.03289096  0.7692119928  0.8375987108  0.90019969 1.00  4079
mean.phi[3, 16]  0.7294223605 0.05764264  0.5940347387  0.7355638784  0.82480401 1.00  2503
mean.phi[4, 16]  0.5780339283 0.06767057  0.4407920397  0.5790919303  0.71104375 1.00  5151
mean.phi[1, 17]  0.7535192289 0.07010317  0.5965852815  0.7591522800  0.87971137 1.00  3006
mean.phi[2, 17]  0.8227789020 0.04114208  0.7285138763  0.8259691347  0.89466931 1.00  3770
mean.phi[3, 17]  0.7291243933 0.06789001  0.5727656198  0.7360211051  0.84416164 1.00  4604
mean.phi[4, 17]  0.5773925073 0.09434140  0.3781356904  0.5805429207  0.76052510 1.00  5147
mu.R[1]          0.5204881862 0.12709651  0.2692787672  0.5240055426  0.75916140 1.00  1394
mu.R[2]          0.2783517638 0.11140076  0.0921888061  0.2681985517  0.52268230 1.00  1152
