Information and diagnostics 
=========================== 
Total iter:                       10000 
Thin:                             1 
Num chains:                       3 
Max Rhat:                         1.43 
Min n.eff:                        0 


Model summary 
============= 
                        mean         sd          2.5%          50%       97.5% Rhat n.eff
betaD.R[1]      -0.563261228 0.49321675 -1.5475749728 -0.557653346  0.38305060 1.00   975
mean.phi[3, 11]  0.785589381 0.06827313  0.6353549693  0.792037493  0.90077903 1.00  7736
mean.phi[4, 11]  0.817199856 0.07514186  0.6420336246  0.828168294  0.93193758 1.00  6591
mean.phi[5, 11]  0.775926279 0.07405081  0.6132649927  0.783786175  0.89985905 1.00  7609
mean.phi[6, 11]  0.647620447 0.10900773  0.4172761015  0.654751977  0.83700151 1.00  7388
mean.phi[1, 12]  0.745296588 0.06293464  0.6133668142  0.748586058  0.85839615 1.00  6548
mean.phi[2, 12]  0.642988414 0.10115672  0.4261681860  0.649902861  0.82200414 1.00  5116
mean.phi[3, 12]  0.850742260 0.06536729  0.7016881245  0.859204594  0.95190053 1.00  4442
mean.phi[4, 12]  0.842032033 0.05847019  0.7072487042  0.848954966  0.93546675 1.00  6701
mean.phi[5, 12]  0.750171028 0.08767262  0.5510103479  0.760565960  0.89260770 1.00  6146
mean.phi[6, 12]  0.656192502 0.09604963  0.4552369655  0.662271649  0.82714307 1.00  8040
mean.phi[1, 13]  0.741843983 0.08030543  0.5690115416  0.748471415  0.88135282 1.00  4652
mean.phi[2, 13]  0.732743003 0.06907481  0.5892178253  0.735648456  0.85615136 1.00  6556
mean.phi[3, 13]  0.711087692 0.10438462  0.4723905445  0.725176555  0.87607389 1.00  3711
mean.phi[4, 13]  0.818968334 0.05644863  0.6923006049  0.824949165  0.91192991 1.00  6860
mean.phi[5, 13]  0.755478216 0.08932843  0.5576804498  0.764219000  0.90345915 1.00  6201
mean.phi[6, 13]  0.687825590 0.09955277  0.4810240811  0.694219754  0.86244497 1.00  3446
mean.phi[1, 14]  0.739323538 0.07979353  0.5664082328  0.744469990  0.88036823 1.00  5295
mean.phi[2, 14]  0.734939920 0.08450203  0.5526772240  0.740734280  0.88207668 1.00  6235
mean.phi[3, 14]  0.769111800 0.07231393  0.6086812679  0.776405610  0.88858441 1.00  7355
mean.phi[4, 14]  0.821397341 0.05730456  0.6960528044  0.827362022  0.91734223 1.00  6839
mean.phi[5, 14]  0.774074603 0.08769576  0.5751369561  0.783553148  0.91747393 1.00  5720
mean.phi[6, 14]  0.595126221 0.10687522  0.3712111718  0.599435236  0.79045482 1.00  6829
mean.phi[1, 15]  0.749873666 0.06197887  0.6208282394  0.753320908  0.86009839 1.00  5879
mean.phi[2, 15]  0.758908919 0.08276272  0.5772732487  0.765829928  0.89994934 1.00  5525
mean.phi[3, 15]  0.834273499 0.06887185  0.6729255628  0.843883571  0.93911013 1.00  5913
mean.phi[4, 15]  0.809926667 0.05389020  0.6911157651  0.813953119  0.90237111 1.00  7965
mean.phi[5, 15]  0.787553882 0.09243261  0.5724676301  0.800609405  0.92984301 1.00  6017
mean.phi[6, 15]  0.616216682 0.11038788  0.3808257353  0.623185812  0.81133750 1.00  6423
mean.phi[1, 16]  0.750410176 0.07544725  0.5912476733  0.755420920  0.88477012 1.00  3937
mean.phi[2, 16]  0.649676927 0.07511976  0.4930295617  0.653231979  0.78614826 1.00  7694
mean.phi[3, 16]  0.829942272 0.06987560  0.6679246608  0.839625190  0.93817582 1.00  6661
mean.phi[4, 16]  0.848353546 0.05044294  0.7369974857  0.853383505  0.93185296 1.00  6824
mean.phi[5, 16]  0.703526433 0.09486561  0.4939142021  0.713242111  0.86082687 1.00  5675
mean.phi[6, 16]  0.665806735 0.11231255  0.4231764152  0.674024073  0.86044234 1.00  6914
mean.phi[1, 17]  0.803299985 0.09787452  0.5878867095  0.812271983  0.96320284 1.00  2461
mean.phi[2, 17]  0.662865413 0.11270101  0.4292627848  0.668376128  0.86856815 1.00  2833
mean.phi[3, 17]  0.733226420 0.10810248  0.4992318761  0.743411510  0.91296299 1.01  3048
mean.phi[4, 17]  0.831088748 0.07582438  0.6623991065  0.838051495  0.95535649 1.00  2367
mean.phi[5, 17]  0.721960663 0.11321692  0.4734190925  0.732113398  0.91198188 1.00  3361
mean.phi[6, 17]  0.545944471 0.16730330  0.1987456863  0.557400838  0.83699513 1.00  3577
mu.R[1]          0.074933454 0.02286157  0.0368506004  0.072951673  0.12557832 1.00  4002
mu.R[2]          0.154168727 0.04671663  0.0760925363  0.149269490  0.25827911 1.00  4305
mu.R[3]          0.184368708 0.07027344  0.0696183516  0.175391072  0.34118976 1.00  4429
mu.R[4]          0.114738668 0.04004184  0.0498345552  0.109879781  0.20336262 1.00  4069
mu.R[5]          0.255363734 0.07644529  0.1250867179  0.250613067  0.41920769 1.00  5770
mu.R[6]          0.083631952 0.04349443  0.0207974267  0.076585832  0.18669544 1.00  4849
mu.p             0.946227117 0.01252185  0.9185501302  0.947273906  0.96757489 1.01  1229
mu.phi[1]        0.559621268 0.04090541  0.4773846359  0.560643237  0.63701732 1.00  2139
mu.phi[2]        0.749462835 0.03931322  0.6689955105  0.751155754  0.82127313 1.00  2264
mu.phi[3]        0.828439967 0.03664843  0.7518077499  0.830980457  0.89402366 1.00  2699
mu.phi[4]        0.839493512 0.02678673  0.7835243826  0.840549238  0.88925413 1.00  2345
mu.phi[5]        0.721218062 0.04739223  0.6237221560  0.723064743  0.80793436 1.00  3771
mu.phi[6]        0.590280576 0.05580153  0.4777501286  0.592009653  0.69684066 1.00  4576
sigma.R          0.160582854 0.15423424  0.0051277921  0.107227527  0.55177785 1.43   104
sigma.p          0.755912964 0.17803012  0.4492911802  0.740818848  1.14233887 1.01  1266
sigma.phi        0.507560054 0.11422434  0.2942488249  0.504259462  0.74876660 1.00   321
veg[1]           0.255071386 0.66811086 -1.1100696042  0.265452519  1.56395329 1.01  1578
veg[2]           1.786000000 0.00000000  1.7860000000  1.786000000  1.78600000  NaN     0
veg[3]           2.190000000 0.00000000  2.1900000000  2.190000000  2.19000000  NaN     0
veg[4]           1.651000000 0.00000000  1.6510000000  1.651000000  1.65100000  NaN     0
veg[5]          -0.549000000 0.00000000 -0.5490000000 -0.549000000 -0.54900000  NaN     0
veg[6]          -0.447000000 0.00000000 -0.4470000000 -0.447000000 -0.44700000  NaN     0
