ID,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
901,999,999,999,999,999,999,999,999,1,1,1,1,1,1,1,1,1
902,999,999,999,999,999,999,999,999,1,1,4,5,5,5,5,5,5
906,999,999,999,999,999,999,999,999,1,1,1,1,4,5,5,5,5
908,999,999,999,999,999,999,999,999,1,1,1,1,1,1,1,1,1
909,999,999,999,999,999,999,999,999,1,1,1,1,1,1,1,1,1
911,999,999,999,999,999,999,999,999,4,5,5,5,5,5,5,5,5
913,999,999,999,999,999,999,999,999,1,1,1,1,4,5,5,5,5
914,999,999,999,999,999,999,999,999,1,1,1,1,1,1,1,1,1
915,999,999,999,999,999,999,999,999,1,4,5,5,5,5,5,5,5
917,999,999,999,999,999,999,999,999,1,1,1,1,1,1,1,1,1
918,999,999,999,999,999,999,999,999,1,1,1,1,4,5,5,5,5
919,999,999,999,999,999,999,999,999,1,4,5,5,5,5,5,5,5
921,999,999,999,999,999,999,999,999,1,1,1,1,1,1,5,5,5
923,999,999,999,999,999,999,999,999,1,1,1,1,1,1,5,5,5
924,999,999,999,999,999,999,999,999,1,1,1,1,1,1,1,1,1
928,999,999,999,999,999,999,999,999,1,1,1,1,1,1,1,1,1
931,999,999,999,999,999,999,999,999,1,1,1,1,1,1,1,1,1
944,999,999,999,999,999,999,999,999,1,1,1,1,1,1,1,1,1
951,999,999,999,999,999,999,999,999,1,1,5,5,5,5,5,5,5
954,999,999,999,999,999,999,999,999,1,1,1,1,1,1,1,1,1
955,999,999,999,999,999,999,999,999,1,1,5,5,5,5,5,5,5
957,999,999,999,999,999,999,999,999,3,5,5,5,5,5,5,5,5
958,999,999,999,999,999,999,999,999,1,1,1,1,1,1,1,1,1
959,999,999,999,999,999,999,999,999,1,1,5,5,5,5,5,5,5
962,999,999,999,999,999,999,999,999,1,1,1,1,1,1,1,5,5
963,999,999,999,999,999,999,999,999,1,1,1,1,1,1,1,1,1
965,999,999,999,999,999,999,999,999,1,1,1,1,1,5,5,5,5
967,999,999,999,999,999,999,999,999,3,5,5,5,5,5,5,5,5
970,999,999,999,999,999,999,999,999,1,1,1,1,1,1,4,5,5
972,999,999,999,999,999,999,999,999,1,1,1,1,1,1,1,1,5
974,999,999,999,999,999,999,999,999,4,5,5,5,5,5,5,5,5
975,999,999,999,999,999,999,999,999,1,1,1,1,1,5,5,5,5
976,999,999,999,999,999,999,999,999,1,1,1,4,5,5,5,5,5
978,999,999,999,999,999,999,999,999,4,5,5,5,5,5,5,5,5
981,999,999,999,999,999,999,999,999,1,1,1,1,1,1,1,1,1
983,999,999,999,999,999,999,999,999,4,5,5,5,5,5,5,5,5
985,999,999,999,999,999,999,999,999,1,1,1,1,1,1,1,1,1
986,999,999,999,999,999,999,999,999,1,1,1,1,1,1,1,1,1
995,999,999,999,999,999,999,999,999,4,5,5,5,5,5,5,5,5
1001,999,999,999,999,999,999,999,999,1,1,1,1,1,1,1,1,1
1008,999,999,999,999,999,999,999,999,1,1,1,5,5,5,5,5,5
1026,999,999,999,999,999,999,999,999,999,1,1,4,5,5,5,5,5
1027,999,999,999,999,999,999,999,999,999,1,1,4,5,5,5,5,5
1033,999,999,999,999,999,999,999,999,999,1,4,5,5,5,5,5,5
1035,999,999,999,999,999,999,999,999,999,4,5,5,5,5,5,5,5
1038,999,999,999,999,999,999,999,999,999,1,1,1,1,1,1,1,1
